year,month,value
1945,12,-0.39
1946,01,-1.05
1946,02,-1.13
1946,03,-0.74
1946,04,-1.79
1946,05,-0.97
1946,06,-1.36
1946,07,-1.39
1946,08,-1.42
1946,09,-1.34
1946,10,-1.46
1946,11,-1.47
1946,12,-1.25
1947,01,-0.94
1947,02,-0.63
1947,03,-1.08
1947,04,-1.03
1947,05,-0.72
1947,06,-0.53
1947,07,0.03
1947,08,-0.33
1947,09,-0.94
1947,10,-0.94
1947,11,-0.78
1947,12,-0.81
1948,01,-1.32
1948,02,-1.4
1948,03,-1.31
1948,04,-0.91
1948,05,-0.99
1948,06,-1.14
1948,07,-1.45
1948,08,-1.52
1948,09,-1.74
1948,10,-1.26
1948,11,-1.12
1948,12,-1.36
1949,01,-1.26
1949,02,-1.12
1949,03,-1.06
1949,04,-0.73
1949,05,-1.1
1949,06,-1.08
1949,07,-0.82
1949,08,-0.72
1949,09,-0.99
1949,10,-0.7
1949,11,-0.61
1949,12,-0.72
1950,01,-0.78
1950,02,-0.98
1950,03,-0.56
1950,04,-0.57
1950,05,-0.62
1950,06,-0.57
1950,07,-1.01
1950,08,-1.84
1950,09,-1.74
1950,10,-1.72
1950,11,-1.21
1950,12,-1.42
1951,01,-1.13
1951,02,-0.95
1951,03,-1.16
1951,04,-1.41
1951,05,-1.44
1951,06,-0.82
1951,07,-0.19
1951,08,-0.47
1951,09,-0.44
1951,10,-0.68
1951,11,-0.98
1951,12,-0.55
1952,01,-0.4
1952,02,-0.5
1952,03,-0.48
1952,04,-0.48
1952,05,-0.84
1952,06,-0.81
1952,07,-1.11
1952,08,-1.16
1952,09,-0.59
1952,10,-0.98
1952,11,-1.02
1952,12,-0.88
1953,01,-0.96
1953,02,-0.78
1953,03,-0.95
1953,04,-0.81
1953,05,-1.02
1953,06,-0.83
1953,07,-0.94
1953,08,-1.27
1953,09,-0.78
1953,10,-0.68
1953,11,-0.71
1953,12,-0.78
1954,01,-1.14
1954,02,-0.95
1954,03,-1.09
1954,04,-1.41
1954,05,-1.46
1954,06,-1.52
1954,07,-1.79
1954,08,-1.68
1954,09,-1.13
1954,10,-0.73
1954,11,-0.86
1954,12,-0.55
1955,01,-1.06
1955,02,-1.14
1955,03,-1.19
1955,04,-0.43
1955,05,-0.81
1955,06,-0.55
1955,07,-0.61
1955,08,-0.92
1955,09,-0.89
1955,10,-1.14
1955,11,-0.59
1955,12,-0.93
1956,01,-1.02
1956,02,-1.38
1956,03,-1.08
1956,04,-0.44
1956,05,-0.92
1956,06,-1.07
1956,07,-1.48
1956,08,-1.3
1956,09,-0.92
1956,10,-0.99
1956,11,-0.89
1956,12,-1.42
1957,01,-1.32
1957,02,-1.32
1957,03,-1.2
1957,04,-0.97
1957,05,-0.67
1957,06,-0.28
1957,07,-0.17
1957,08,-0.69
1957,09,-0.85
1957,10,-1.11
1957,11,-0.58
1957,12,-0.63
1958,01,-0.23
1958,02,-0.27
1958,03,-0.08
1958,04,-0.4
1958,05,-1.61
1958,06,-1.58
1958,07,-2.07
1958,08,-1.48
1958,09,-1.03
1958,10,-1.21
1958,11,-1.34
1958,12,-0.95
1959,01,-0.76
1959,02,-0.62
1959,03,-0.55
1959,04,-0.06
1959,05,-0.76
1959,06,-0.71
1959,07,-0.19
1959,08,-0.65
1959,09,-0.43
1959,10,-0.36
1959,11,-0.54
1959,12,-0.59
1960,01,-0.6
1960,02,-0.7
1960,03,-0.99
1960,04,-0.77
1960,05,-0.9
1960,06,-0.51
1960,07,-0.52
1960,08,-0.35
1960,09,-0.48
1960,10,-0.42
1960,11,-0.49
1960,12,-0.4
1961,01,-0.45
1961,02,-0.15
1961,03,-0.31
1961,04,-0.14
1961,05,0.25
1961,06,-0.54
1961,07,-1.33
1961,08,-0.69
1961,09,-0.91
1961,10,-0.44
1961,11,0.01
1961,12,-0.22
1962,01,-0.33
1962,02,-0.25
1962,03,-0.4
1962,04,-0.21
1962,05,-0.22
1962,06,-0.5
1962,07,-0.56
1962,08,-0.63
1962,09,-1
1962,10,-0.56
1962,11,-0.69
1962,12,-0.28
1963,01,-0.2
1963,02,-0.25
1963,03,-0.19
1963,04,-0.1
1963,05,0.03
1963,06,0.6
1963,07,0.37
1963,08,0.53
1963,09,0.33
1963,10,-0.07
1963,11,0.08
1963,12,-0.35
1964,01,-0.1
1964,02,-0.32
1964,03,-0.35
1964,04,-0.11
1964,05,-0.24
1964,06,-0.45
1964,07,-0.45
1964,08,-0.67
1964,09,-1.18
1964,10,-1.66
1964,11,-1.34
1964,12,-1.25
1965,01,-1.22
1965,02,-1.01
1965,03,-0.47
1965,04,-0.17
1965,05,-0.28
1965,06,-0.25
1965,07,-0.78
1965,08,-0.6
1965,09,-0.48
1965,10,-0.6
1965,11,-0.52
1965,12,-0.67
1966,01,-0.67
1966,02,-0.49
1966,03,-0.28
1966,04,-0.18
1966,05,-0.13
1966,06,0.18
1966,07,0.4
1966,08,-0.28
1966,09,-0.87
1966,10,-0.56
1966,11,-0.37
1966,12,0
1967,01,-0.19
1967,02,-0.34
1967,03,-0.37
1967,04,-0.28
1967,05,-0.1
1967,06,-0.62
1967,07,-0.87
1967,08,-1.08
1967,09,-1.17
1967,10,-1.27
1967,11,-0.96
1967,12,-0.97
1968,01,-1.05
1968,02,-0.67
1968,03,-1.14
1968,04,-0.34
1968,05,-0.38
1968,06,-0.39
1968,07,-0.21
1968,08,0.22
1968,09,-0.11
1968,10,0.03
1968,11,-0.18
1968,12,-0.65
1969,01,-0.13
1969,02,0.05
1969,03,-0.03
1969,04,0.06
1969,05,-0.32
1969,06,-0.46
1969,07,-0.83
1969,08,-0.89
1969,09,-0.96
1969,10,-1
1969,11,-1.07
1969,12,-0.8
1970,01,-0.61
1970,02,-0.37
1970,03,-0.45
1970,04,-0.24
1970,05,-0.37
1970,06,-0.53
1970,07,-0.82
1970,08,-0.86
1970,09,-0.82
1970,10,-0.57
1970,11,-0.35
1970,12,-0.45
1971,01,-0.75
1971,02,-1.03
1971,03,-0.8
1971,04,-0.38
1971,05,-0.25
1971,06,-0.4
1971,07,-0.39
1971,08,-0.66
1971,09,-0.9
1971,10,-0.69
1971,11,-0.86
1971,12,-1.33
1972,01,-0.86
1972,02,-0.73
1972,03,-0.8
1972,04,-0.67
1972,05,-0.87
1972,06,-0.56
1972,07,-0.59
1972,08,-0.96
1972,09,-0.42
1972,10,-0.3
1972,11,-0.33
1972,12,-0.17
1973,01,-0.06
1973,02,0.14
1973,03,-0.01
1973,04,0.06
1973,05,0.09
1973,06,-0.01
1973,07,0.39
1973,08,0.11
1973,09,0.21
1973,10,0.29
1973,11,0.19
1973,12,-0.18
1974,01,-0.57
1974,02,-0.54
1974,03,-0.78
1974,04,-0.48
1974,05,-0.27
1974,06,0.03
1974,07,-0.24
1974,08,-0.48
1974,09,-0.73
1974,10,-1.08
1974,11,-0.68
1974,12,-0.64
1975,01,-0.49
1975,02,-0.3
1975,03,-0.66
1975,04,-0.39
1975,05,-0.36
1975,06,-0.11
1975,07,-0.35
1975,08,-0.94
1975,09,-0.99
1975,10,-0.64
1975,11,-0.48
1975,12,-0.83
1976,01,-0.91
1976,02,-0.8
1976,03,-0.69
1976,04,-0.66
1976,05,-1
1976,06,-1.09
1976,07,-1.53
1976,08,-1.46
1976,09,-1.2
1976,10,-1.5
1976,11,-1.11
1976,12,-0.85
1977,01,-0.81
1977,02,-0.61
1977,03,-0.78
1977,04,-0.34
1977,05,-0.32
1977,06,-0.81
1977,07,-0.79
1977,08,-0.47
1977,09,-0.39
1977,10,-0.42
1977,11,-0.37
1977,12,-0.68
1978,01,-0.78
1978,02,-0.77
1978,03,-1.01
1978,04,-0.99
1978,05,-1.22
1978,06,-0.95
1978,07,-1.16
1978,08,-0.8
1978,09,-0.73
1978,10,-0.87
1978,11,-0.89
1978,12,-0.77
1979,01,-0.48
1979,02,-0.48
1979,03,-0.52
1979,04,0.01
1979,05,-0.42
1979,06,-0.49
1979,07,-0.26
1979,08,-0.28
1979,09,-0.47
1979,10,-0.38
1979,11,-0.39
1979,12,-0.35
1980,01,-0.34
1980,02,-0.39
1980,03,-0.77
1980,04,-0.27
1980,05,-0.5
1980,06,-0.91
1980,07,-0.95
1980,08,-0.52
1980,09,-0.23
1980,10,-0.43
1980,11,-0.53
1980,12,-0.72
1981,01,-0.89
1981,02,-0.6
1981,03,-0.64
1981,04,-0.25
1981,05,-0.91
1981,06,-0.53
1981,07,-0.9
1981,08,-0.73
1981,09,-0.44
1981,10,-0.37
1981,11,0.04
1981,12,-0.22
1982,01,-0.24
1982,02,-0.29
1982,03,-0.27
1982,04,-0.32
1982,05,-0.72
1982,06,-1.08
1982,07,-1.12
1982,08,-1.15
1982,09,-1.02
1982,10,-1.1
1982,11,-1.17
1982,12,-0.53
1983,01,-1.01
1983,02,-0.41
1983,03,0
1983,04,-0.47
1983,05,-0.64
1983,06,-0.89
1983,07,-0.94
1983,08,-1.07
1983,09,-1.06
1983,10,-0.6
1983,11,-0.42
1983,12,-0.67
1984,01,-0.64
1984,02,-0.51
1984,03,-0.2
1984,04,-0.24
1984,05,-0.13
1984,06,0.35
1984,07,0.19
1984,08,0.21
1984,09,0.28
1984,10,-0.06
1984,11,-0.42
1984,12,-0.05
1985,01,-0.38
1985,02,-0.57
1985,03,-0.53
1985,04,-0.51
1985,05,-0.33
1985,06,-0.45
1985,07,-0.46
1985,08,-0.11
1985,09,-0.45
1985,10,-0.36
1985,11,-0.18
1985,12,-0.46
1986,01,-0.6
1986,02,-0.41
1986,03,-0.5
1986,04,-0.2
1986,05,-0.13
1986,06,-0.17
1986,07,-0.82
1986,08,-0.93
1986,09,-0.49
1986,10,-0.92
1986,11,-0.79
1986,12,-1.09
1987,01,-0.62
1987,02,-0.51
1987,03,-0.31
1987,04,0.25
1987,05,0.35
1987,06,0.3
1987,07,0.75
1987,08,0.91
1987,09,0.44
1987,10,0.19
1987,11,0.29
1987,12,0.19
1988,01,-0.12
1988,02,-0.12
1988,03,0.11
1988,04,0.27
1988,05,0.13
1988,06,0.54
1988,07,0.4
1988,08,-0.31
1988,09,-0.07
1988,10,-0.1
1988,11,-0.06
1988,12,-0.4
1989,01,-0.48
1989,02,-0.42
1989,03,-0.82
1989,04,-0.18
1989,05,-0.07
1989,06,0.11
1989,07,0.19
1989,08,0.07
1989,09,-0.26
1989,10,-0.29
1989,11,-0.39
1989,12,-0.42
1990,01,-0.94
1990,02,-0.63
1990,03,-0.34
1990,04,0.01
1990,05,-0.58
1990,06,-0.36
1990,07,-0.44
1990,08,-0.71
1990,09,-0.3
1990,10,-0.22
1990,11,-0.17
1990,12,-0.48
1991,01,-0.15
1991,02,-0.13
1991,03,-0.27
1991,04,-0.45
1991,05,-0.15
1991,06,0.24
1991,07,0.34
1991,08,-0.17
1991,09,-0.15
1991,10,-0.68
1991,11,-0.85
1991,12,-0.75
1992,01,-1.11
1992,02,-0.4
1992,03,-0.79
1992,04,-0.31
1992,05,-0.81
1992,06,-0.5
1992,07,-1.01
1992,08,-1.04
1992,09,-0.48
1992,10,-0.38
1992,11,-0.53
1992,12,-0.11
1993,01,-0.75
1993,02,-0.62
1993,03,-0.74
1993,04,-0.49
1993,05,-0.26
1993,06,-0.54
1993,07,-0.32
1993,08,-0.48
1993,09,-0.03
1993,10,0.12
1993,11,-0.23
1993,12,-0.17
1994,01,-0.48
1994,02,-0.23
1994,03,-0.23
1994,04,-0.28
1994,05,-0.31
1994,06,-0.4
1994,07,-0.6
1994,08,-0.34
1994,09,-0.3
1994,10,-0.14
1994,11,0.02
1994,12,0.09
1995,01,0.14
1995,02,0.22
1995,03,0.19
1995,04,-0.06
1995,05,0.08
1995,06,0.24
1995,07,-0.09
1995,08,-0.3
1995,09,-0.16
1995,10,-0.25
1995,11,0.09
1995,12,-0.13
1996,01,-0.68
1996,02,-0.59
1996,03,-0.34
1996,04,-0.08
1996,05,0.26
1996,06,0.02
1996,07,-0.21
1996,08,-0.42
